Date,Open,High,Low,Close,Volume,Change
2024-07-24,92600,93500,92500,93400,177357,0.0
2024-07-25,93400,93600,92200,93200,229656,-0.0021413276231263545
2024-07-26,93000,93900,92300,93800,307783,0.006437768240343367
2024-07-29,93500,93900,91800,92500,165741,-0.013859275053304865
2024-07-30,91100,93200,90700,92700,244180,0.00216216216216214
2024-07-31,92900,93300,91600,93300,315317,0.006472491909385036
2024-08-01,92200,92700,91500,92600,202121,-0.007502679528403
2024-08-02,92600,92900,91100,92000,223028,-0.006479481641468721
2024-08-05,90800,91200,87100,87300,484912,-0.05108695652173911
2024-08-06,90900,91000,87600,89100,398711,0.020618556701030855
2024-08-07,87900,93400,87700,93400,406099,0.04826038159371482
2024-08-08,93300,95000,92600,94800,492641,0.01498929336188426
2024-08-09,95000,101500,94300,100600,1372172,0.06118143459915615
2024-08-12,100600,100600,99000,100200,381600,-0.003976143141153132
2024-08-13,99900,104300,99800,103000,609565,0.027944111776447178
2024-08-14,102400,103800,100900,101900,365851,-0.010679611650485477
2024-08-16,102800,102800,99000,99100,546074,-0.027477919528949957
2024-08-19,98500,101500,98300,101100,429122,0.020181634712411745
2024-08-20,101100,101600,100000,100100,245611,-0.009891196834816984
2024-08-21,100900,103000,100500,102200,348800,0.020979020979021046
2024-08-22,102200,104300,101600,104300,370413,0.020547945205479534
2024-08-23,104300,108300,104100,107300,524108,0.028763183125599223
2024-08-26,106300,109500,106100,109400,344226,0.019571295433364444
2024-08-27,110000,111300,108100,111000,455442,0.014625228519195677
2024-08-28,110500,113500,109400,109800,462445,-0.010810810810810811
2024-08-29,109800,111200,107300,108100,387630,-0.015482695810564717
2024-08-30,108000,109600,107100,108200,368997,0.0009250693802034249
2024-09-02,107500,108800,106200,107400,308855,-0.007393715341959317
2024-09-03,107500,110900,107300,108500,277092,0.010242085661080091
2024-09-04,108000,110200,107400,108700,378910,0.0018433179723502668
2024-09-05,108700,110400,107800,108900,299962,0.0018399264029438367
2024-09-06,110000,113500,109200,111400,720222,0.022956841138659367
2024-09-09,109500,110700,107400,109700,351418,-0.015260323159784539
2024-09-10,109200,112900,108900,111000,475284,0.01185050136736554
2024-09-11,112000,113300,109700,110200,401359,-0.007207207207207245
2024-09-12,110700,111500,108100,110000,554347,-0.001814882032667886
2024-09-13,109800,112200,109400,111500,290833,0.013636363636363669
2024-09-19,111500,111500,105400,106700,552656,-0.043049327354260036
2024-09-20,106900,107500,105400,107100,434967,0.0037488284910964786
2024-09-23,107800,107800,105600,107500,339102,0.0037348272642390157
2024-09-24,107500,108400,106300,107700,304550,0.0018604651162790198
2024-09-25,111200,111300,107300,108300,426727,0.0055710306406684396
2024-09-26,108500,108900,106700,107200,400214,-0.010156971375807955
2024-09-27,108200,110300,106300,108900,330932,0.01585820895522394
2024-09-30,110400,111300,108200,108900,357896,0.0
2024-10-02,107800,107800,104000,104500,381912,-0.04040404040404044
2024-10-04,104600,105000,102100,103900,319382,-0.005741626794258381
2024-10-07,102900,104500,102000,103700,294902,-0.0019249278152069227
2024-10-08,103000,104000,102600,103500,133554,-0.0019286403085824189
2024-10-10,105500,116900,104100,116900,393924,0.12946859903381647
2024-10-11,110300,110400,102100,102200,360879,-0.12574850299401197
2024-10-14,103000,107500,102800,107300,266095,0.04990215264187858
2024-10-15,106500,106800,104700,105300,260552,-0.018639328984156545
2024-10-16,104600,108500,104600,107500,251790,0.02089268755935425
2024-10-17,108000,109400,107100,107500,146401,0.0
2024-10-18,108500,109600,106800,106800,143666,-0.006511627906976791
2024-10-21,107500,109200,106600,106600,81992,-0.0018726591760299671
2024-10-22,104900,108900,104800,107900,215929,0.012195121951219523
2024-10-23,109700,111600,107500,107500,189445,-0.003707136237256714
2024-10-24,108200,109900,107600,109300,265077,0.016744186046511622
2024-10-25,108800,111800,108700,111600,173220,0.02104300091491318
2024-10-28,111600,112400,110000,110700,132127,-0.008064516129032251
2024-10-29,110300,111300,108700,110600,130912,-0.0009033423667570428
2024-10-30,111500,111500,109700,110000,210077,-0.005424954792043413
2024-10-31,110900,111800,109100,109700,191505,-0.0027272727272726893
2024-11-01,109800,111400,109400,110000,126119,0.0027347310847767314
2024-11-04,109400,110800,107600,110800,146134,0.0072727272727273196
2024-11-05,109700,110800,108700,109200,124685,-0.014440433212996373
2024-11-06,108700,112600,108700,110600,111992,0.012820512820512775
2024-11-07,109500,113600,107900,107900,221040,-0.0244122965641953
2024-11-08,113600,123000,113300,119500,740193,0.10750695088044493
2024-11-11,119400,122200,119200,122000,345564,0.02092050209205021
2024-11-12,120800,124000,120300,122900,421710,0.007377049180327777
2024-11-13,122900,124900,121800,123000,316727,0.0008136696501219731
2024-11-14,123000,123300,119300,120800,343627,-0.01788617886178867
2024-11-15,121500,122000,115700,118100,296532,-0.022350993377483475
2024-11-18,115400,117900,114000,116700,290566,-0.011854360711261669
2024-11-19,116200,118400,114900,115900,327701,-0.006855184233076295
2024-11-20,114700,116600,114700,115500,307003,-0.00345125107851596
2024-11-21,115600,118600,115600,115900,636745,0.0034632034632033903
2024-11-22,118200,120800,117300,119200,252214,0.028472821397756753
2024-11-25,120300,122000,117700,117900,707488,-0.01090604026845643
2024-11-26,115600,121100,115000,119900,224356,0.016963528413910023
2024-11-27,119000,122000,119000,120700,253651,0.006672226855713115
2024-11-28,121900,121900,119800,121400,105850,0.0057995028997515075
2024-11-29,121400,126400,120100,121800,389053,0.0032948929159801743
2024-12-02,125400,125400,119700,120900,315099,-0.007389162561576401
2024-12-03,122100,124700,121100,122900,274542,0.016542597187758412
2024-12-04,122700,125000,121200,123400,267948,0.00406834825061031
2024-12-05,123500,126000,120900,122000,164571,-0.011345218800648316
2024-12-06,122900,122900,117600,118100,198518,-0.031967213114754145
2024-12-09,119000,120000,116900,119200,202230,0.009314140558848383
2024-12-10,120400,122300,116500,117100,270126,-0.017617449664429574
2024-12-11,116300,117900,115900,116300,209944,-0.006831767719897575
2024-12-12,116900,117500,115100,116000,446774,-0.002579535683576939
2024-12-13,115100,115500,111700,114900,282729,-0.009482758620689702
2024-12-16,114400,115500,113300,113900,153066,-0.00870322019147085
2024-12-17,112700,113600,108500,110300,386779,-0.03160667251975413
2024-12-18,110300,110900,109200,110600,188852,0.0027198549410698547
2024-12-19,109100,111900,108600,110600,309181,0.0
2024-12-20,109200,109700,106800,107600,385864,-0.027124773960216952
2024-12-23,108300,110200,108200,110100,129000,0.02323420074349447
2024-12-24,110500,110600,109000,110000,92374,-0.0009082652134423386
2024-12-26,110500,110600,108500,109300,110901,-0.006363636363636349
2024-12-27,108300,109100,107000,107600,99689,-0.015553522415370558
2024-12-30,108200,109100,106800,107100,100000,-0.004646840148698872
2025-01-02,106000,108000,106000,107100,98883,0.0
2025-01-03,105600,107300,105000,105700,204126,-0.013071895424836555
2025-01-06,104700,105400,102500,104600,270217,-0.01040681173131508
2025-01-07,105000,107600,105000,106300,196401,0.016252390057361454
2025-01-08,105500,107000,105500,106200,159411,-0.0009407337723423836
2025-01-09,105500,109300,105400,107300,400617,0.010357815442561202
2025-01-10,107300,110200,107300,109000,304001,0.01584342963653307
2025-01-13,108000,111400,108000,109500,209595,0.004587155963302836
2025-01-14,109900,109900,108200,109000,156949,-0.004566210045662156
2025-01-15,109000,109500,107200,108100,182422,-0.008256880733944927
2025-01-16,107800,108100,106000,106300,164316,-0.016651248843663313
2025-01-17,106600,107300,105600,105900,177352,-0.0037629350893697566
2025-01-20,105600,107200,104400,104600,94925,-0.01227573182247399
2025-01-21,105600,107900,105300,105800,171857,0.011472275334607929
2025-01-22,107000,107200,104800,105200,101506,-0.005671077504725952
2025-01-23,106100,106300,104200,105500,164961,0.002851711026615966
2025-01-24,105800,107200,105600,105900,134249,0.0037914691943128354
2025-01-31,109000,110800,108100,110600,305920,0.044381491973559895
2025-02-03,108200,113900,108200,113200,337758,0.02350813743218816
2025-02-04,112700,113200,110400,110400,303999,-0.02473498233215543
2025-02-05,110400,113000,110400,111000,162854,0.005434782608695565
2025-02-06,111000,113600,111000,112700,171723,0.015315315315315381
2025-02-07,111400,111400,106700,109200,358008,-0.03105590062111796
2025-02-10,109600,110800,108300,108300,163745,-0.008241758241758212
2025-02-11,108300,109300,108100,108500,171472,0.001846722068328699
2025-02-12,109500,109500,106800,106900,165230,-0.014746543778801802
2025-02-13,107200,107600,104900,104900,382824,-0.018709073900841866
2025-02-14,105100,106800,104500,106500,176588,0.015252621544327827
2025-02-17,107000,107400,105600,107400,152500,0.008450704225352101
2025-02-18,106700,107400,103300,105000,272611,-0.022346368715083775
2025-02-19,104200,106400,104200,105900,181954,0.008571428571428674
2025-02-20,104900,105600,104700,105200,182083,-0.006610009442870601
2025-02-21,105100,105200,104100,104100,267203,-0.010456273764258506
2025-02-24,104400,104800,102900,103500,263548,-0.0057636887608069065
2025-02-25,102500,103500,101200,103500,366891,0.0
2025-02-26,102500,104700,102000,104100,369570,0.005797101449275255
2025-02-27,101300,102400,99600,100100,509928,-0.03842459173871282
2025-02-28,98200,99900,97300,98300,1051878,-0.017982017982017928
2025-03-04,97200,100300,97100,99600,324390,0.01322482197355046
2025-03-05,98700,99500,96900,96900,350677,-0.027108433734939763
2025-03-06,96800,99300,95700,99200,318797,0.023735810113518996
2025-03-07,99000,99400,97500,97500,227354,-0.017137096774193505
2025-03-10,97000,98900,97000,97700,223592,0.002051282051282133
2025-03-11,96700,97700,96000,96000,178155,-0.017400204708290734
2025-03-12,95500,95900,94800,95200,259338,-0.008333333333333304
2025-03-13,95000,96200,94600,96100,415717,0.009453781512605008
2025-03-14,95400,96100,94600,95000,179380,-0.01144640998959412
2025-03-17,95400,96300,94800,96300,183054,0.013684210526315743
2025-03-18,96400,98100,96000,96800,237595,0.005192107995846351
2025-03-19,97400,98300,96800,97500,225467,0.00723140495867769
2025-03-20,97500,102100,97500,102100,445765,0.04717948717948728
2025-03-21,101000,102000,99900,100600,323131,-0.014691478942213565
2025-03-24,100600,102400,100300,101100,262741,0.00497017892644136
2025-03-25,100100,101800,99800,101300,184063,0.001978239366963397
2025-03-26,102000,102000,99500,100100,176341,-0.011846001974333609
2025-03-27,98700,103300,98700,102000,324127,0.018981018981018893
2025-03-28,103100,103600,101800,102700,324007,0.006862745098039191
2025-03-31,101600,102200,100100,101100,289959,-0.015579357351509282
2025-04-01,100400,102700,100300,102200,194830,0.010880316518298683
2025-04-02,101600,103700,101600,102200,198035,0.0
2025-04-03,99400,102900,99200,102700,386378,0.004892367906066619
2025-04-04,102200,103200,101400,102600,210634,-0.0009737098344693162
2025-04-07,99400,101400,97900,100500,332984,-0.020467836257309968
2025-04-08,101500,104600,99300,103900,443363,0.03383084577114426
2025-04-09,104000,104700,100700,101900,328430,-0.019249278152069338
2025-04-10,101700,105000,101000,104900,415921,0.02944062806673209
2025-04-11,103900,105600,103600,105600,229364,0.006673021925643452
2025-04-14,105600,108100,104500,106600,253696,0.009469696969697017
2025-04-15,106800,107800,106400,107800,225281,0.011257035647279645
2025-04-16,107800,110400,107500,109400,348897,0.014842300556586308
2025-04-17,110200,110600,108500,110000,240698,0.005484460694698434
2025-04-18,109500,110700,109200,109600,101635,-0.0036363636363636598
2025-04-21,109500,110700,109300,110600,171700,0.009124087591240837
2025-04-22,111300,115600,110300,114500,406191,0.03526220614828213
2025-04-23,115200,115300,111700,112900,303594,-0.013973799126637543
2025-04-24,111900,114200,111800,113500,232176,0.005314437555358653
2025-04-25,113500,114100,112100,112900,272425,-0.005286343612334821
2025-04-28,111500,114100,111500,113400,210257,0.004428697962798989
2025-04-29,113000,114200,112600,113300,193556,-0.0008818342151675207
2025-04-30,112100,115700,112000,114700,357380,0.012356575463371655
2025-05-02,113700,116400,113700,116000,174752,0.011333914559721103
2025-05-07,118900,119000,114400,114800,209308,-0.010344827586206917
2025-05-08,114000,119200,114000,117500,618900,0.023519163763066286
2025-05-09,117500,121000,117400,118200,356899,0.005957446808510625
2025-05-12,118400,119800,115500,116100,306412,-0.017766497461928932
2025-05-13,114700,116300,113200,115700,306571,-0.003445305770887197
2025-05-14,115300,117700,115000,116600,275214,0.007778738115816752
2025-05-15,115200,117400,115200,115900,175261,-0.006003430531732468
2025-05-16,115600,120000,115600,119700,273447,0.032786885245901676
2025-05-19,118700,120300,117400,118000,265046,-0.014202172096908994
2025-05-20,118800,120200,117800,118200,217964,0.0016949152542373724
2025-05-21,118000,119500,117800,118400,240677,0.0016920473773265332
2025-05-22,116100,120200,116100,119600,248753,0.010135135135135087
2025-05-23,118500,120100,118500,119400,113853,-0.0016722408026755842
2025-05-26,119400,125000,119300,125000,250411,0.04690117252931314
2025-05-27,123800,124800,122500,123500,223311,-0.01200000000000001
2025-05-28,122200,124700,121800,122600,309123,-0.0072874493927125306
2025-05-29,122700,123400,120100,121000,314033,-0.013050570962479635
2025-05-30,119200,121600,119100,120200,632476,-0.006611570247933907
2025-06-02,119200,125400,119200,120600,319843,0.0033277870216306127
2025-06-04,123200,125700,123100,124400,447300,0.031509121061359835
2025-06-05,122200,124900,121900,122200,249131,-0.01768488745980712
2025-06-09,121800,124200,120900,123300,317244,0.009001636661211121
2025-06-10,122200,123400,120300,122000,317841,-0.010543390105433925
2025-06-11,120800,122400,119200,121600,341557,-0.003278688524590123
2025-06-12,120100,123900,120100,122200,382836,0.004934210526315708
2025-06-13,123100,125100,122300,123200,375743,0.008183306055646433
2025-06-16,124500,124700,121100,123000,249972,-0.0016233766233766378
2025-06-17,121400,124300,121000,123700,265507,0.005691056910569037
2025-06-18,122500,127600,122500,126500,375694,0.022635408245755828
2025-06-19,126400,127000,124500,125600,177468,-0.007114624505928813
2025-06-20,125900,126700,122300,125500,619936,-0.0007961783439490722
2025-06-23,124300,125200,122400,123700,279205,-0.014342629482071767
2025-06-24,125000,125100,122900,124600,496360,0.007275666936135794
2025-06-25,123500,126600,123400,125300,317989,0.00561797752808979
2025-06-26,124600,125800,124200,124800,432100,-0.003990422984836428
2025-06-27,124800,125300,122500,123300,338115,-0.012019230769230727
2025-06-30,124600,128200,123600,127700,338240,0.035685320356853234
2025-07-01,127600,128800,126500,127200,411331,-0.003915426781519238
2025-07-02,126300,130300,126200,130200,448537,0.02358490566037741
2025-07-03,130200,130500,127900,128400,276376,-0.01382488479262678
2025-07-04,128800,131200,128700,129600,304612,0.009345794392523255
2025-07-07,130500,137800,130200,136200,432010,0.05092592592592582
2025-07-08,138600,138800,134300,134500,366422,-0.012481644640234935
2025-07-09,134000,138000,134000,137400,247265,0.021561338289962872
2025-07-10,136600,136900,134300,135600,358856,-0.013100436681222738
2025-07-11,135000,141000,135000,136400,257589,0.005899705014749346
2025-07-14,137600,144000,137500,140700,370593,0.03152492668621698
2025-07-15,141000,142700,139000,140500,283478,-0.001421464108031234
2025-07-16,139600,141000,138600,140000,254278,-0.003558718861209953
2025-07-17,140500,141800,139200,140700,170768,0.004999999999999893
2025-07-18,140500,141800,138100,139500,205945,-0.008528784648187626
2025-07-21,138400,139400,136500,136900,248447,-0.018637992831541217
2025-07-22,136000,137800,135600,136500,178292,-0.0029218407596786067
2025-07-23,137200,137800,134400,134900,215097,-0.01172161172161168
2025-07-24,134800,135900,130100,131500,350537,-0.025203854707190554
2025-07-25,130200,133800,129700,132500,254636,0.0076045627376426506
2025-07-28,131300,131800,129800,131700,237391,-0.006037735849056647
2025-07-29,130200,131900,130000,131800,151062,0.0007593014426727773
2025-07-30,131000,132500,130500,131500,148281,-0.0022761760242792084
2025-07-31,130200,131400,128600,130700,364854,-0.006083650190114032
2025-08-01,128300,132000,128100,129100,363694,-0.01224177505738333
2025-08-04,129200,137300,128700,136100,462112,0.0542215336948102
2025-08-05,135400,138300,135100,137200,276809,0.008082292432035176
2025-08-06,136300,140700,136300,140500,359163,0.02405247813411071
2025-08-07,139800,141000,133900,138500,471443,-0.014234875444839812
2025-08-08,141400,149400,141400,147200,956482,0.0628158844765343
2025-08-11,146500,146500,139000,140100,502812,-0.04823369565217395
2025-08-12,139600,141600,139100,140500,448170,0.002855103497501732
2025-08-13,140000,140600,136100,137600,382035,-0.020640569395017794
2025-08-14,137000,138300,133700,133700,608992,-0.02834302325581395
2025-08-18,135300,137000,133500,133900,315502,0.0014958863126401933
2025-08-19,134700,137000,133200,133600,372358,-0.0022404779686333587
